date,category,ad,loc,floor,age,rooms,gross,price
07-10-2024,Daire,Marka'Dan 1+1 Eşyalı Klimalı Kiralık Daire,İzmir / Buca / Yıldız Mah.,Giriş Katı,5 Yaşında,1 + 1,55 m²,13.000
11-10-2024,Daire,Tınaztepe Ana Cadde Üstü Sıfır Eşyalı Kiralık 1+1,İzmir / Buca / Kuruçeşme Mah.,Ara Kat,7 Yaşında,1 + 1,55 m²,18.000
08-10-2024,Daire,Çamlıpınar Mahallesinde 130m² Doğalgazlı 2+1 Daire,İzmir / Buca / Çamlıpınar Mah.,1. Kat,25 Yaşında,2 + 1,140 m²,16.000
10-10-2024,Daire,Ege Emlak'Tan Buca Tınaztepe Ve İktisat Fakültesi Yakını 1+1 Kiralık Daire,İzmir / Buca / Adatepe Mah.,2. Kat,10 Yaşında,1 + 1,60 m²,12.000
08-10-2024,Daire,Güneş'Ten Şirnyer Metro 5dk 2+1 90m 3.Kat Balkon,İzmir / Buca / Hürriyet Mah.,3. Kat,40 Yaşında,2 + 1,90 m²,18.500
11-10-2024,Daire,Tuğhan Gayrimenkul’Den Yaylacık Mahallesin De Kiralık Eşyalı Daire,İzmir / Buca / Yaylacık Mah.,Ara Kat,5 Yaşında,1 + 1,65 m²,19.000
09-10-2024,Daire,Buca Da Çok Merkezi Konumda Kıralık Daìre,İzmir / Buca / Menderes Mah.,Çatı Katı,32 Yaşında,3 + 1,120 m²,19.000
05-10-2024,Daire,"Eşyalı, Doğalgazlı- Klimalı-3 Oda 1 Salon 130 M2,Lüx Daire",İzmir / Buca / Efeler Mah.,Ara Kat,23 Yaşında,3 + 1,135 m²,27.500
11-10-2024,Daire,Buca Yedigöller 2+1 85 M2 D.Gazlı Arakat Kiralık Daire,İzmir / Buca / Çağdaş Mah.,2. Kat,25 Yaşında,2 + 1,85 m²,17.000
04-10-2024,Daire,Buca Tınaztepe Kampüsü Yakını Kiralık 1+1 Eşyalı Daire,İzmir / Buca / Adatepe Mah.,2. Kat,4 Yaşında,1 + 1,42 m²,20.500
