category,room,floor,gross,updated,price,location
Daire,2+1,Çatı Dubleks,130 m²,8 Ekim,29.000 TL,İzmir - Gaziemir - Dokuz Eylül Mh.
Daire,2+1,3. Kat,100 m²,7 Ekim,25.000 TL,İzmir - Bornova - Erzene Mh.
Daire,1.5+1,1. Kat,60 m²,8 Ekim,17.500 TL,İzmir - Menemen - 9 Eylül Mh.
Daire,2+1,2. Kat,92 m²,7 Ekim,22.500 TL,İzmir - Menderes - Kemalpaşa Mh.
Daire,2+1,1. Kat,105 m²,7 Ekim,12.000 TL,İzmir - Karabağlar - Selvili Mh.
Daire,2+1,2. Kat,110 m²,7 Ekim,13.000 TL,İzmir - Buca - Göksu Mh.
Daire,3+1,Kot 1 (-1). Kat,130 m²,7 Ekim,29.000 TL,İzmir - Karşıyaka - Bahçelievler Mh.
Daire,3+1,2. Kat,140 m²,7 Ekim,20.000 TL,İzmir - Menderes - Mithatpaşa Mh.
Daire,3+1,Yüksek giriş,160 m²,7 Ekim,36.000 TL,İzmir - Menderes - Altıntepe Mh.
Daire,2+1,3. Kat,85 m²,8 Ekim,20.000 TL,İzmir - Dikili - İsmetpaşa Mh.
Daire,2+1,2. Kat,85 m²,7 Ekim,17.500 TL,İzmir - Seferihisar - Cumhuriyet Mh.
Daire,3+1,Kot 4 (-4). Kat,130 m²,6 Ekim,23.000 TL,İzmir - Karabağlar - Maliyeciler Mh.
Daire,2+1,22. Kat,90 m²,6 Ekim,27.500 TL,İzmir - Bornova - Koşukavak Mh.
Daire,3+1,4. Kat,110 m²,6 Ekim,18.000 TL,İzmir - Seferihisar - Camikebir Mh.
Daire,1+1,5. Kat,55 m²,8 Ekim,21.000 TL,İzmir - Bayraklı - Körfez Mh.
Daire,3+1,2. Kat,150 m²,6 Ekim,24.000 TL,İzmir - Çiğli - Yakakent Mh.
Daire,2+1,5. Kat,105 m²,7 Ekim,15.000 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,3+1,3. Kat,120 m²,6 Ekim,14.000 TL,İzmir - Karabağlar - Bahar Mh.
Daire,2+1,2. Kat,90 m²,6 Ekim,20.000 TL,İzmir - Buca - Yiğitler Mh.
Daire,3+1,1. Kat,125 m²,6 Ekim,26.500 TL,İzmir - Buca - Menderes Mh.
Daire,2+1,1. Kat,80 m²,9 Ekim,20.000 TL,İzmir - Dikili - Gazipaşa Mh.
Daire,2+1,2. Kat,100 m²,6 Ekim,15.000 TL,İzmir - Gaziemir - Hürriyet Mh.
Daire,3+1,2. Kat,140 m²,9 Ekim,22.500 TL,İzmir - Tire - Fatih Mh.
Villa,3+1,,135 m²,9 Ekim,60.000 TL,İzmir - Urla - Denizli Mh.
Daire,3+1,1. Kat,150 m²,6 Ekim,32.500 TL,İzmir - Bornova - Yeşilova Mh.
Daire,3+1,2. Kat,171 m²,6 Ekim,30.000 TL,İzmir - Karabağlar - Tahsin Yazıcı Mh.
Daire,3+1,Düz Giriş (Zemin),186 m²,9 Ekim,22.000 TL,İzmir - Karabağlar - Metin Oktay Mh.
Daire,2+1,Yüksek giriş,100 m²,9 Ekim,15.000 TL,İzmir - Menderes - Gazipaşa Mh.
Daire,3+1,3. Kat,165 m²,9 Ekim,25.000 TL,İzmir - Menderes - Kemalpaşa Mh.
Daire,2+1,3. Kat,70 m²,9 Ekim,22.500 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,1+1,1. Kat,50 m²,9 Ekim,16.000 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,3+1,Yüksek giriş,145 m²,9 Ekim,30.000 TL,İzmir - Menderes - Cüneytbey Mh.
Daire,2+1,9. Kat,105 m²,9 Ekim,23.000 TL,İzmir - Menemen - Uğur Mumcu Mh.
Daire,3+1,4. Kat,130 m²,9 Ekim,22.000 TL,İzmir - Bornova - Mevlana Mh.
Daire,Stüdyo,Düz Giriş (Zemin),120 m²,9 Ekim,25.000 TL,İzmir - Bornova - Mevlana Mh.
